ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
420	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36325896	36324923	36325887	36330252	36330492
421	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327170	36324923	36325887	36330252	36330492
422	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327225	36324923	36325887	36330252	36330492
423	"ENSG00000232677"	"LINC00665"	chr19	-	36324923	36327275	36324923	36325887	36330252	36330492
436	"ENSG00000239382"	"ALKBH6"	chr19	-	36010566	36010683	36010566	36010645	36013020	36013089
437	"ENSG00000239382"	"ALKBH6"	chr19	-	36010737	36011077	36010737	36011045	36013020	36013089
438	"ENSG00000239382"	"ALKBH6"	chr19	-	36010893	36011065	36010893	36011045	36013020	36013089
439	"ENSG00000239382"	"ALKBH6"	chr19	-	36010893	36011077	36010893	36011065	36013020	36013089
445	"ENSG00000167604"	"NFKBID"	chr19	-	35896725	35897058	35896725	35896831	35898471	35898532
449	"ENSG00000161265"	"U2AF1L4"	chr19	-	35742531	35743205	35742531	35742803	35743808	35743904
450	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743208	35743154	35743205	35743808	35743904
451	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743205	35743808	35743904
452	"ENSG00000161265"	"U2AF1L4"	chr19	-	35743154	35743345	35743154	35743208	35743808	35743904
456	"ENSG00000161265"	"U2AF1L4"	chr19	-	35744322	35745187	35744322	35744421	35745347	35745442
457	"ENSG00000249115"	"HAUS5"	chr19	+	35613867	35614059	35614034	35614059	35613729	35613792
458	"ENSG00000249115"	"HAUS5"	chr19	+	35619612	35620123	35620011	35620123	35619423	35619504
459	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35547118	35547240	35545887	35545957
462	"ENSG00000236144"	"TMEM147-AS1"	chr19	-	35542910	35543273	35542910	35543097	35545936	35546029
463	"ENSG00000161249"	"DMKN"	chr19	-	35505938	35506049	35505938	35505986	35509910	35509961
465	"ENSG00000105699"	"LSR"	chr19	+	35266835	35266967	35266838	35266967	35266358	35266532
472	"ENSG00000153885"	"KCTD15"	chr19	+	33798667	33798766	33798670	33798766	33795932	33796103
473	"ENSG00000153885"	"KCTD15"	chr19	+	33798667	33798766	33798670	33798766	33796453	33796525
475	"ENSG00000153885"	"KCTD15"	chr19	+	33798667	33798766	33798670	33798766	33798336	33798390
484	"ENSG00000130726"	"TRIM28"	chr19	+	58548739	58548910	58548861	58548910	58548485	58548592
505	"ENSG00000105705"	"SUGP1"	chr19	-	19303347	19303448	19303347	19303406	19303723	19304043
516	"ENSG00000064607"	"SUGP2"	chr19	-	18994365	18995280	18994365	18994486	19001612	19001674
517	"ENSG00000064607"	"SUGP2"	chr19	-	19030950	19031107	19030950	19031082	19033436	19033559
518	"ENSG00000005007"	"UPF1"	chr19	+	18865288	18865778	18865560	18865778	18864169	18864251
522	"ENSG00000221983"	"UBA52"	chr19	+	18574869	18575241	18575056	18575241	18573661	18573748
526	"ENSG00000105701"	"FKBP8"	chr19	-	18538215	18538436	18538215	18538433	18541678	18541995
538	"ENSG00000130299"	"GTPBP3"	chr19	+	17337873	17338255	17338007	17338255	17336872	17337034
546	"ENSG00000131351"	"HAUS8"	chr19	-	17059996	17060092	17059996	17060089	17069030	17069086
551	"ENSG00000072958"	"AP1M1"	chr19	+	16234412	16235345	16235146	16235345	16233492	16233618
555	"ENSG00000130511"	"SSBP4"	chr19	+	18432558	18432735	18432699	18432735	18432146	18432214
557	"ENSG00000167460"	"TPM4"	chr19	+	16080914	16081075	16081019	16081075	16077956	16078149
558	"ENSG00000167460"	"TPM4"	chr19	+	16088026	16089120	16089044	16089120	16081912	16082046
559	"ENSG00000167460"	"TPM4"	chr19	+	16088026	16089120	16089044	16089120	16086422	16086540
563	"ENSG00000105135"	"ILVBL"	chr19	-	15116407	15118015	15116407	15116522	15119165	15119302
569	"ENSG00000132000"	"PODNL1"	chr19	-	13934253	13934410	13934253	13934385	13935720	13935830
572	"ENSG00000104957"	"CCDC130"	chr19	+	13759099	13759272	13759110	13759272	13758867	13759010
579	"ENSG00000105607"	"GCDH"	chr19	+	12897302	12897863	12897702	12897863	12896909	12897013
586	"ENSG00000187266"	"EPOR"	chr19	-	11381055	11381313	11381055	11381209	11381929	11382105
590	"ENSG00000105518"	"TMEM205"	chr19	-	11345519	11345737	11345519	11345628	11346142	11346262
591	"ENSG00000105518"	"TMEM205"	chr19	-	11345519	11345737	11345519	11345628	11346333	11346406
595	"ENSG00000127616"	"SMARCA4"	chr19	+	10984120	10984373	10984123	10984373	10961320	10961729
597	"ENSG00000127616"	"SMARCA4"	chr19	+	10984120	10984373	10984123	10984373	10983479	10983711
602	"ENSG00000127616"	"SMARCA4"	chr19	+	11058254	11058363	11058257	11058363	11034913	11035132
605	"ENSG00000127616"	"SMARCA4"	chr19	+	11058254	11058363	11058257	11058363	11047594	11047795
609	"ENSG00000129353"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756
615	"ENSG00000105397"	"TYK2"	chr19	-	10368294	10368418	10368294	10368371	10378213	10378508
622	"ENSG00000188321"	"ZNF559"	chr19	+	9337714	9338017	9337795	9338017	9333014	9333113
626	"ENSG00000099785"	"MARCHF2"	chr19	+	8418536	8418807	8418741	8418807	8413421	8413794
633	"ENSG00000104980"	"TIMM44"	chr19	-	7934088	7934241	7934088	7934238	7938026	7938197
638	"ENSG00000076944"	"STXBP2"	chr19	+	7642428	7642823	7642765	7642823	7642202	7642333
647	"ENSG00000205744"	"DENND1C"	chr19	-	6471264	6471496	6471264	6471305	6472888	6472993
648	"ENSG00000205744"	"DENND1C"	chr19	-	6475483	6475643	6475483	6475585	6475836	6475937
685	"ENSG00000141985"	"SH3GL1"	chr19	-	4364087	4364221	4364087	4364120	4366500	4366573
686	"ENSG00000008382"	"MPND"	chr19	+	4357252	4357421	4357339	4357421	4354323	4354420
699	"ENSG00000125912"	"NCLN"	chr19	+	3206261	3206425	3206264	3206425	3205938	3206026
702	"ENSG00000178297"	"TMPRSS9"	chr19	+	2396538	2396666	2396555	2396666	2396177	2396444
703	"ENSG00000130332"	"LSM7"	chr19	-	2324124	2324196	2324124	2324192	2324741	2324906
704	"ENSG00000130332"	"LSM7"	chr19	-	2324124	2324196	2324124	2324192	2325979	2326139
708	"ENSG00000099875"	"MKNK2"	chr19	-	2042606	2042870	2042606	2042662	2043123	2043197
711	"ENSG00000115268"	"RPS15"	chr19	+	1438806	1438892	1438810	1438892	1438418	1438580
719	"ENSG00000071626"	"DAZAP1"	chr19	+	1434736	1435687	1434739	1435687	1407612	1407802
722	"ENSG00000115286"	"NDUFS7"	chr19	+	1388832	1391050	1390870	1391050	1383903	1383942
723	"ENSG00000115286"	"NDUFS7"	chr19	+	1388524	1388938	1388832	1388938	1387810	1387847
725	"ENSG00000115286"	"NDUFS7"	chr19	+	1390870	1391165	1391118	1391165	1388524	1388938
726	"ENSG00000115286"	"NDUFS7"	chr19	+	1393241	1395584	1395390	1395584	1390870	1391165
731	"ENSG00000064932"	"SBNO2"	chr19	-	1109134	1109598	1109134	1109211	1109682	1109777
738	"ENSG00000099817"	"POLR2E"	chr19	-	1090086	1090145	1090086	1090141	1093903	1094078
741	"ENSG00000198858"	"R3HDM4"	chr19	-	901975	902130	901975	902067	902241	902410
752	"ENSG00000198276"	"UCKL1"	chr20	-	63940949	63941208	63940949	63941043	63944396	63944458
754	"ENSG00000203896"	"LIME1"	chr20	+	63738007	63738499	63738182	63738499	63737820	63737902
755	"ENSG00000273154"	"AL121845.3"	chr20	+	63737820	63737902	63737844	63737902	63737532	63737647
756	"ENSG00000026036"	"RTEL1-TNFRSF6B"	chr20	+	63691741	63693003	63692804	63693003	63690804	63690947
757	"ENSG00000026036"	"RTEL1-TNFRSF6B"	chr20	+	63695777	63697191	63696759	63697191	63695327	63695480
761	"ENSG00000258366"	"RTEL1"	chr20	+	63689965	63690210	63690086	63690210	63689845	63689865
772	"ENSG00000101197"	"BIRC7"	chr20	+	63239357	63239610	63239411	63239610	63238568	63238614
788	"ENSG00000000419"	"DPM1"	chr20	-	50940864	50940955	50940864	50940933	50941128	50941209
801	"ENSG00000080189"	"SLC35C2"	chr20	-	46355072	46355279	46355072	46355178	46356573	46356637
819	"ENSG00000160410"	"SHKBP1"	chr19	+	40583600	40583717	40583608	40583717	40582425	40582466
823	"ENSG00000185513"	"L3MBTL1"	chr20	+	43514444	43514776	43514634	43514776	43513954	43514061
827	"ENSG00000185513"	"L3MBTL1"	chr20	+	43530283	43532924	43532772	43532924	43529202	43529368
834	"ENSG00000170471"	"RALGAPB"	chr20	+	38497352	38497516	38497479	38497516	38492929	38493132
845	"ENSG00000196756"	"SNHG17"	chr20	-	38421005	38422241	38421005	38421098	38431040	38431112
848	"ENSG00000132792"	"CTNNBL1"	chr20	+	37757558	37757656	37757560	37757656	37746467	37746607
850	"ENSG00000080839"	"RBL1"	chr20	-	37066992	37067121	37066992	37067021	37067232	37067297
852	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771024	36770872	36770977	36771424	36771473
854	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771193	36770872	36771024	36771424	36771473
855	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771193	36770872	36771024	36773393	36773799
856	"ENSG00000080845"	"DLGAP4"	chr20	+	36499587	36499676	36499602	36499676	36497446	36497602
864	"ENSG00000125991"	"ERGIC3"	chr20	+	35556954	35557109	35556972	35557109	35556578	35556748
869	"ENSG00000078699"	"CBFA2T2"	chr20	+	33640340	33640531	33640343	33640531	33636639	33636708
873	"ENSG00000105576"	"TNPO2"	chr19	-	12705681	12705830	12705681	12705768	12706009	12706109
876	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723768	12724011
877	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723772	12723932
878	"ENSG00000171456"	"ASXL1"	chr20	+	32360709	32360806	32360793	32360806	32358965	32359851
879	"ENSG00000101337"	"TM9SF4"	chr20	+	32141496	32141665	32141540	32141665	32133012	32133126
888	"ENSG00000101294"	"HM13"	chr20	+	31548638	31549114	31548964	31549114	31547447	31547692
889	"ENSG00000101294"	"HM13"	chr20	+	31548638	31549114	31549028	31549114	31547447	31547692
890	"ENSG00000101294"	"HM13"	chr20	+	31548964	31549114	31549028	31549114	31547447	31547692
891	"ENSG00000101294"	"HM13"	chr20	+	31548638	31549114	31548964	31549114	31547464	31547606
892	"ENSG00000101294"	"HM13"	chr20	+	31548638	31549114	31549028	31549114	31547464	31547606
893	"ENSG00000101294"	"HM13"	chr20	+	31548964	31549114	31549028	31549114	31547464	31547606
894	"ENSG00000101294"	"HM13"	chr20	+	31548964	31549114	31549028	31549114	31548676	31548793
920	"ENSG00000124228"	"DDX27"	chr20	+	49243628	49244077	49243815	49244077	49242593	49242681
921	"ENSG00000197586"	"ENTPD6"	chr20	+	25207075	25207397	25207078	25207397	25196153	25196254
922	"ENSG00000197586"	"ENTPD6"	chr20	+	25207075	25207397	25207078	25207397	25197104	25197226
925	"ENSG00000088970"	"KIZ"	chr20	+	21244244	21246622	21246478	21246622	21232733	21232830
946	"ENSG00000089057"	"SLC23A2"	chr20	-	4970792	4970919	4970792	4970915	5001405	5001510
948	"ENSG00000088826"	"SMOX"	chr20	+	4182088	4182848	4182482	4182848	4181802	4181976
950	"ENSG00000101224"	"CDC25B"	chr20	+	3797621	3797749	3797663	3797749	3786771	3787139
951	"ENSG00000101224"	"CDC25B"	chr20	+	3797621	3797749	3797663	3797749	3795738	3795879
961	"ENSG00000101365"	"IDH3B"	chr20	-	2660456	2660829	2660456	2660590	2660908	2660969
967	"ENSG00000088833"	"NSFL1C"	chr20	-	1454966	1455132	1454966	1455037	1455713	1457090
970	"ENSG00000101298"	"SNPH"	chr20	+	1295775	1296421	1296324	1296421	1266653	1266760
974	"ENSG00000069399"	"BCL3"	chr19	+	44758245	44758841	44758723	44758841	44757645	44757723
977	"ENSG00000133313"	"CNDP2"	chr18	+	74499881	74500033	74499936	74500033	74499341	74499375
978	"ENSG00000133313"	"CNDP2"	chr18	+	74499881	74500033	74499936	74500033	74499420	74499482
980	"ENSG00000133313"	"CNDP2"	chr18	+	74516227	74519096	74518948	74519096	74512447	74512532
984	"ENSG00000176225"	"RTTN"	chr18	-	70005197	70006484	70005197	70005267	70017406	70017674
987	"ENSG00000176225"	"RTTN"	chr18	-	70059849	70060042	70059849	70059943	70065828	70065922
993	"ENSG00000267040"	"AC027097.1"	chr18	+	57641558	57642052	57641913	57642052	57630349	57630518
1008	"ENSG00000141644"	"MBD1"	chr18	-	50277089	50277204	50277089	50277196	50279875	50280017
1018	"ENSG00000078043"	"PIAS2"	chr18	-	46903526	46903635	46903526	46903633	46904101	46904206
1019	"ENSG00000078043"	"PIAS2"	chr18	-	46903526	46903635	46903526	46903633	46906226	46906315
1021	"ENSG00000152234"	"ATP5F1A"	chr18	-	46095052	46095131	46095052	46095123	46098171	46098296
1022	"ENSG00000152234"	"ATP5F1A"	chr18	-	46095052	46095147	46095052	46095123	46098171	46098296
1030	"ENSG00000267374"	"MIR924HG"	chr18	-	39293185	39293406	39293185	39293304	39327765	39327951
1031	"ENSG00000267374"	"MIR924HG"	chr18	-	39206916	39208789	39206916	39208039	39388428	39388527
1032	"ENSG00000267374"	"MIR924HG"	chr18	-	39293185	39293406	39293185	39293304	39388428	39388527
1034	"ENSG00000267374"	"MIR924HG"	chr18	-	39293185	39293406	39293185	39293304	39535457	39535615
1035	"ENSG00000150477"	"KIAA1328"	chr18	+	36834202	36834355	36834319	36834355	36829239	36829439
1036	"ENSG00000150477"	"KIAA1328"	chr18	+	36834202	36834355	36834319	36834355	36832673	36833388
1038	"ENSG00000134779"	"TPGS2"	chr18	-	36786572	36787079	36786572	36786982	36800197	36800311
1044	"ENSG00000186814"	"ZSCAN30"	chr18	-	35267475	35267682	35267475	35267679	35290083	35290232
1060	"ENSG00000124155"	"PIGT"	chr20	+	45419503	45419590	45419507	45419590	45416516	45416694
1061	"ENSG00000124155"	"PIGT"	chr20	+	45419142	45419395	45419294	45419395	45418851	45418979
1075	"ENSG00000101639"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301
1076	"ENSG00000101639"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698
1078	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13104983	13105079
1079	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13113585	13113705
1080	"ENSG00000101639"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251
1081	"ENSG00000175354"	"PTPN2"	chr18	-	12817155	12817365	12817155	12817265	12818943	12819000
1082	"ENSG00000175354"	"PTPN2"	chr18	-	12817155	12817365	12817155	12817265	12821335	12821425
1090	"ENSG00000154889"	"MPPE1"	chr18	-	11896983	11897356	11896983	11897131	11905737	11905953
1094	"ENSG00000168502"	"MTCL1"	chr18	+	8818962	8819259	8819046	8819259	8806892	8807060
1111	"ENSG00000141580"	"WDR45B"	chr17	-	82619042	82619128	82619042	82619094	82625388	82625483
1112	"ENSG00000141580"	"WDR45B"	chr17	-	82619042	82619128	82619042	82619094	82643948	82644023
1116	"ENSG00000169718"	"DUS1L"	chr17	-	82060700	82060783	82060700	82060780	82060860	82060961
1119	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036448	82036190	82036308	82036543	82036643
1120	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036448	82036190	82036308	82036720	82036763
1121	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036643	82036190	82036308	82036720	82036763
1122	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036643	82036190	82036448	82036720	82036763
1123	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036763	82036190	82036643	82036858	82037013
1124	"ENSG00000169738"	"DCXR"	chr17	-	82036720	82037013	82036720	82036763	82037449	82037541
1132	"ENSG00000185359"	"HGS"	chr17	+	81694814	81695067	81694923	81695067	81693869	81693965
1135	"ENSG00000185298"	"CCDC137"	chr17	+	81670224	81670453	81670229	81670453	81670001	81670028
1141	"ENSG00000181045"	"SLC26A11"	chr17	+	80221417	80221794	80221547	80221794	80219698	80219988
1145	"ENSG00000181045"	"SLC26A11"	chr17	+	80221417	80221794	80221547	80221794	80220918	80221115
1147	"ENSG00000181045"	"SLC26A11"	chr17	+	80223251	80223337	80223290	80223337	80222654	80222847
1148	"ENSG00000181045"	"SLC26A11"	chr17	+	80236791	80237103	80236927	80237103	80225836	80225916
1153	"ENSG00000141527"	"CARD14"	chr17	+	80205017	80205205	80205034	80205205	80204226	80204341
1158	"ENSG00000267123"	"SCAT1"	chr17	-	78630031	78630430	78630031	78630280	78631918	78632104
1160	"ENSG00000087157"	"PGS1"	chr17	+	78392475	78392665	78392513	78392665	78382663	78382785
1162	"ENSG00000087157"	"PGS1"	chr17	+	78414878	78415027	78414951	78415027	78400676	78400855
1166	"ENSG00000184640"	"SEPTIN9"	chr17	+	77402058	77402703	77402336	77402703	77319601	77319803
1167	"ENSG00000184640"	"SEPTIN9"	chr17	+	77487423	77487552	77487481	77487552	77482143	77482335
1168	"ENSG00000129657"	"SEC14L1"	chr17	+	77142645	77142750	77142649	77142750	77141069	77141107
1170	"ENSG00000129657"	"SEC14L1"	chr17	+	77213917	77216802	77216548	77216802	77211949	77212201
1174	"ENSG00000100348"	"TXN2"	chr22	-	36480574	36480787	36480574	36480748	36481142	36481340
1175	"ENSG00000100348"	"TXN2"	chr22	-	36480574	36480837	36480574	36480748	36481142	36481340
1176	"ENSG00000100348"	"TXN2"	chr22	-	36480574	36480837	36480574	36480787	36481142	36481340
1177	"ENSG00000261408"	"TEN1-CDK3"	chr17	+	76000140	76001541	76001411	76001541	75991465	75991623
1192	"ENSG00000182173"	"TSEN54"	chr17	+	75516745	75517072	75517008	75517072	75516059	75516386
1197	"ENSG00000125447"	"GGA3"	chr17	-	75240341	75241057	75240341	75240412	75241614	75241696
1200	"ENSG00000125450"	"NUP85"	chr17	+	75208526	75208620	75208536	75208620	75208154	75208425
1202	"ENSG00000161513"	"FDXR"	chr17	-	74864147	74864347	74864147	74864345	74864479	74864564
1206	"ENSG00000161513"	"FDXR"	chr17	-	74866783	74866879	74866783	74866876	74869949	74870102
1213	"ENSG00000141540"	"TTYH2"	chr17	+	74250264	74250357	74250268	74250357	74249343	74249399
1220	"ENSG00000196704"	"AMZ2"	chr17	+	68248639	68248705	68248643	68248705	68248034	68248058
1221	"ENSG00000196704"	"AMZ2"	chr17	+	68248639	68248705	68248643	68248705	68248057	68248086
1222	"ENSG00000196704"	"AMZ2"	chr17	+	68248639	68248705	68248643	68248705	68248074	68248110
1223	"ENSG00000196704"	"AMZ2"	chr17	+	68248639	68248705	68248643	68248705	68248076	68248162
1228	"ENSG00000256525"	"POLG2"	chr17	-	64482918	64482999	64482918	64482974	64483389	64483506
1229	"ENSG00000256525"	"POLG2"	chr17	-	64482918	64482999	64482918	64482974	64483963	64485868
1237	"ENSG00000108592"	"FTSJ3"	chr17	-	63820838	63821115	63820838	63820938	63821353	63821643
