ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
679	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036763	82036190	82036308	82036720	82036763
680	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036763	82036190	82036448	82036720	82036763
725	"ENSG00000108479"	"GALK1"	chr17	-	75762703	75763439	75762703	75762885	75763319	75763439
779	"ENSG00000006282"	"SPATA20"	chr17	+	50550997	50552180	50550997	50551190	50551968	50552180
788	"ENSG00000005884"	"ITGA3"	chr17	+	50076583	50077447	50076583	50076681	50077378	50077447
791	"ENSG00000100360"	"IFT27"	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036
832	"ENSG00000131469"	"RPL27"	chr17	+	42998418	43000102	42998418	42998471	42999932	43000102
834	"ENSG00000126581"	"BECN1"	chr17	-	42818543	42819609	42818543	42818680	42819547	42819609
863	"ENSG00000125691"	"RPL23"	chr17	-	38850080	38852732	38850080	38850214	38852603	38852732
868	"ENSG00000278053"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
886	"ENSG00000108671"	"PSMD11"	chr17	+	32479250	32480197	32479250	32479376	32480145	32480197
935	"ENSG00000131899"	"LLGL1"	chr17	+	18240577	18241999	18240577	18240873	18241884	18241999
949	"ENSG00000236088"	"COX10-AS1"	chr17	-	14033551	14034416	14033551	14033661	14033939	14034416
957	"ENSG00000178971"	"CTC1"	chr17	-	8229141	8229446	8229141	8229206	8229334	8229446
960	"ENSG00000178971"	"CTC1"	chr17	-	8229890	8230468	8229890	8229968	8230446	8230468
968	"ENSG00000170037"	"CNTROB"	chr17	+	7948486	7949578	7948486	7948619	7949384	7949578
1035	"ENSG00000185324"	"CDK10"	chr16	+	89693273	89694232	89693273	89693326	89694172	89694232
1041	"ENSG00000167526"	"RPL13"	chr16	+	89561226	89561751	89561226	89561368	89561595	89561751
1049	"ENSG00000197912"	"SPG7"	chr16	+	89540943	89542279	89540943	89540977	89541201	89542279
1091	"ENSG00000157353"	"FCSK"	chr16	+	70466881	70467966	70466881	70466954	70467885	70467966
1104	"ENSG00000102977"	"ACD"	chr16	-	67658927	67659613	67658927	67659079	67659536	67659613
1135	"ENSG00000103042"	"SLC38A7"	chr16	-	58675939	58676346	58675939	58676121	58676288	58676346
1144	"ENSG00000140854"	"KATNB1"	chr16	+	57736977	57737283	57736977	57737067	57737225	57737283
1145	"ENSG00000140854"	"KATNB1"	chr16	+	57751939	57753267	57751939	57752055	57753076	57753267
1148	"ENSG00000051108"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
1149	"ENSG00000187193"	"MT1X"	chr16	+	56682469	56684196	56682469	56682568	56683957	56684196
1159	"ENSG00000068903"	"SIRT2"	chr19	-	38878556	38880736	38878556	38879310	38880684	38880736
1186	"ENSG00000149925"	"ALDOA"	chr16	+	30067449	30068978	30067449	30067661	30068817	30068978
1201	"ENSG00000168488"	"ATXN2L"	chr16	+	28835932	28836485	28835932	28836176	28836448	28836485
1205	"ENSG00000168488"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836176	28836747	28837237
1241	"ENSG00000038358"	"EDC4"	chr16	+	67877508	67878275	67877508	67877656	67878165	67878275
1261	"ENSG00000131652"	"THOC6"	chr16	+	3025923	3026288	3025923	3025988	3026250	3026288
1313	"ENSG00000103245"	"CIAO3"	chr16	-	730842	732900	730842	731000	732300	732900
1331	"ENSG00000140983"	"RHOT2"	chr16	+	668487	668699	668487	668569	668658	668699
1340	"ENSG00000140983"	"RHOT2"	chr16	+	672253	672825	672253	672384	672702	672825
1362	"ENSG00000214078"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
1365	"ENSG00000007384"	"RHBDF1"	chr16	-	58973	59349	58973	59093	59248	59349
1379	"ENSG00000259275"	"AC087477.2"	chr15	+	96390283	96395016	96390283	96390461	96394306	96395016
1382	"ENSG00000184056"	"VPS33B"	chr15	-	91006371	91007046	91006371	91006445	91006949	91007046
1433	"ENSG00000140365"	"COMMD4"	chr15	+	75338984	75339878	75338984	75339104	75339701	75339878
1435	"ENSG00000140497"	"SCAMP2"	chr15	-	74852068	74854119	74852068	74852213	74854020	74854119
1441	"ENSG00000140474"	"AC091230.1"	chr15	-	74842279	74842676	74842279	74842449	74842534	74842676
1442	"ENSG00000140474"	"AC091230.1"	chr15	-	74842279	74842676	74842279	74842417	74842538	74842676
1466	"ENSG00000089195"	"TRMT6"	chr20	-	5941052	5942036	5941052	5941139	5941950	5942036
1472	"ENSG00000137845"	"ADAM10"	chr15	-	58610296	58611991	58610296	58610517	58611807	58611991
1478	"ENSG00000128951"	"DUT"	chr15	+	48341288	48342395	48341288	48341363	48342021	48342395
1480	"ENSG00000102901"	"CENPT"	chr16	-	67829764	67831358	67829764	67830088	67831215	67831358
1498	"ENSG00000243708"	"PLA2G4B"	chr15	+	41841230	41841949	41841230	41841273	41841818	41841949
1502	"ENSG00000168970"	"JMJD7-PLA2G4B"	chr15	+	41837067	41840230	41837067	41837374	41840157	41840230
1583	"ENSG00000197102"	"DYNC1H1"	chr14	+	102010275	102012113	102010275	102010459	102011874	102012113
1639	"ENSG00000140043"	"PTGR2"	chr14	+	73876997	73880176	73876997	73877168	73880054	73880176
1691	"ENSG00000100911"	"PSME2"	chr14	-	24144399	24145273	24144399	24144468	24145242	24145273
1694	"ENSG00000100911"	"PSME2"	chr14	-	24145378	24146240	24145378	24145465	24146207	24146240
1710	"ENSG00000213983"	"AP1G2"	chr14	-	23563715	23564221	23563715	23563853	23564045	23564221
1727	"ENSG00000100888"	"CHD8"	chr14	-	21394911	21395892	21394911	21395119	21395816	21395892
1814	"ENSG00000172432"	"GTPBP2"	chr6	-	43620489	43621790	43620489	43621516	43621721	43621790
1833	"ENSG00000156345"	"CDK20"	chr9	-	87969193	87970897	87969193	87969349	87970567	87970897
1850	"ENSG00000159199"	"ATP5MC1"	chr17	+	48893408	48895334	48893408	48893456	48895182	48895334
1906	"ENSG00000174032"	"SLC25A30"	chr13	-	45393315	45399078	45393315	45396015	45398939	45399078
1949	"ENSG00000185627"	"PSMD13"	chr11	+	244040	244469	244040	244075	244425	244469
1994	"ENSG00000184584"	"STING1"	chr5	-	139480789	139481704	139480789	139480898	139481477	139481704
2019	"ENSG00000011243"	"AKAP8L"	chr19	-	15403474	15404042	15403474	15403805	15404009	15404042
2093	"ENSG00000198689"	"SLC9A6"	chrX	+	135985434	135985827	135985434	135985477	135985623	135985827
2145	"ENSG00000164889"	"SLC4A2"	chr7	+	151074038	151074841	151074038	151074293	151074674	151074841
2149	"ENSG00000161960"	"EIF4A1"	chr17	+	7576523	7577165	7576523	7576690	7577055	7577165
2154	"ENSG00000161960"	"EIF4A1"	chr17	+	7577568	7578244	7577568	7577706	7578226	7578244
2185	"ENSG00000016864"	"GLT8D1"	chr3	-	52695189	52696040	52695189	52695302	52695927	52696040
2230	"ENSG00000132694"	"ARHGEF11"	chr1	-	156938417	156940425	156938417	156938513	156940206	156940425
2234	"ENSG00000100650"	"SRSF5"	chr14	+	69768797	69770540	69768797	69768896	69770466	69770540
2259	"ENSG00000164066"	"INTU"	chr4	+	127685441	127687867	127685441	127685569	127687677	127687867
2262	"ENSG00000126522"	"ASL"	chr7	+	66086743	66087791	66086743	66086821	66087728	66087791
2263	"ENSG00000126522"	"ASL"	chr7	+	66086743	66088921	66086743	66086821	66088806	66088921
2267	"ENSG00000143624"	"INTS3"	chr1	+	153746956	153748755	153746956	153747070	153748688	153748755
2292	"ENSG00000108591"	"DRG2"	chr17	+	18099016	18100435	18099016	18099077	18100362	18100435
2293	"ENSG00000108591"	"DRG2"	chr17	+	18099016	18100435	18099016	18099093	18100362	18100435
2311	"ENSG00000203875"	"SNHG5"	chr6	-	85677423	85678188	85677423	85677875	85678135	85678188
2313	"ENSG00000203875"	"SNHG5"	chr6	-	85677794	85678188	85677794	85677899	85678135	85678188
2348	"ENSG00000160972"	"PPP1R16A"	chr8	+	144500095	144500761	144500095	144500199	144500685	144500761
2425	"ENSG00000258315"	"C17orf49"	chr17	+	7015061	7017014	7015061	7015156	7016909	7017014
2487	"ENSG00000233058"	"LINC00884"	chr3	+	194487145	194488726	194487145	194487172	194487455	194488726
2570	"ENSG00000151967"	"SCHIP1"	chr3	+	159886206	159888943	159886206	159886324	159888819	159888943
2595	"ENSG00000188313"	"PLSCR1"	chr3	-	146521543	146522053	146521543	146521701	146521832	146522053
2609	"ENSG00000168591"	"TMUB2"	chr17	+	44188934	44189588	44188934	44189091	44189423	44189588
2647	"ENSG00000175455"	"CCDC14"	chr3	-	123955842	123956795	123955842	123955965	123956739	123956795
2648	"ENSG00000175455"	"CCDC14"	chr3	-	123955842	123956795	123955842	123956115	123956739	123956795
2685	"ENSG00000146063"	"TRIM41"	chr5	+	181234173	181235808	181234173	181234349	181235353	181235808
2687	"ENSG00000159433"	"STARD9"	chr15	+	42662793	42663917	42662793	42662891	42663819	42663917
2750	"ENSG00000243989"	"ACY1"	chr3	+	51986987	51987453	51986987	51987061	51987308	51987453
2758	"ENSG00000179222"	"MAGED1"	chrX	+	51897794	51900296	51897794	51898193	51900181	51900296
2761	"ENSG00000164068"	"RNF123"	chr3	+	49699667	49700564	49699667	49699772	49700471	49700564
2792	"ENSG00000178149"	"DALRD3"	chr3	-	49015803	49016340	49015803	49015872	49016157	49016340
2797	"ENSG00000110844"	"PRPF40B"	chr12	+	49631859	49632880	49631859	49631925	49632854	49632880
2804	"ENSG00000225697"	"SLC26A6"	chr3	-	48626875	48628541	48626875	48627052	48628433	48628541
2805	"ENSG00000225697"	"SLC26A6"	chr3	-	48626875	48628541	48626875	48627055	48628433	48628541
2823	"ENSG00000231500"	"RPS18"	chr6	+	33275964	33276510	33275964	33276066	33276390	33276510
2831	"ENSG00000115446"	"UNC50"	chr2	+	98608578	98610039	98608578	98608726	98609642	98610039
2840	"ENSG00000131697"	"NPHP4"	chr1	-	5864337	5866458	5864337	5864517	5866372	5866458
2852	"ENSG00000158864"	"NDUFS2"	chr1	+	161210110	161210710	161210110	161210188	161210590	161210710
2859	"ENSG00000240065"	"PSMB9"	chr6	+	32856137	32858134	32856137	32856205	32858004	32858134
2874	"ENSG00000111325"	"OGFOD2"	chr12	+	122975810	122976767	122975810	122975867	122976583	122976767
2925	"ENSG00000162777"	"DENND2D"	chr1	-	111195915	111197989	111195915	111196056	111197919	111197989
2930	"ENSG00000092010"	"PSME1"	chr14	+	24136984	24137431	24136984	24137017	24137320	24137431
2936	"ENSG00000106462"	"EZH2"	chr7	-	148816683	148818117	148816683	148816778	148817876	148818117
2944	"ENSG00000147403"	"RPL10"	chrX	+	154399337	154400913	154399337	154399396	154400463	154400913
2987	"ENSG00000072210"	"ALDH3A2"	chr17	+	19648780	19649124	19648780	19648843	19648952	19649124
2990	"ENSG00000160271"	"RALGDS"	chr9	-	133097719	133101762	133097719	133098762	133101519	133101762
3003	"ENSG00000142534"	"RPS11"	chr19	+	49497193	49498046	49497193	49497282	49497519	49498046
3042	"ENSG00000206503"	"HLA-A"	chr6	+	29942756	29943543	29942756	29943026	29943284	29943543
3094	"ENSG00000143303"	"RRNAD1"	chr1	+	156731990	156732473	156731990	156732115	156732365	156732473
3097	"ENSG00000160818"	"GPATCH4"	chr1	-	156596080	156598121	156596080	156596131	156598034	156598121
3103	"ENSG00000090539"	"CHRD"	chr3	+	184386045	184386938	184386045	184386159	184386844	184386938
3142	"ENSG00000100258"	"LMF2"	chr22	-	50505056	50505537	50505056	50505153	50505402	50505537
3144	"ENSG00000143811"	"PYCR2"	chr1	-	225921857	225923771	225921857	225922079	225923700	225923771
3174	"ENSG00000223745"	"CCDC18-AS1"	chr1	-	93338229	93339274	93338229	93338268	93339155	93339274
3186	"ENSG00000149532"	"CPSF7"	chr11	-	61415665	61416519	61415665	61415784	61416363	61416519
3190	"ENSG00000177943"	"MAMDC4"	chr9	+	136853284	136853907	136853284	136853458	136853776	136853907
3211	"ENSG00000159377"	"PSMB4"	chr1	+	151400441	151401355	151400441	151400588	151401238	151401355
3214	"ENSG00000113597"	"TRAPPC13"	chr5	+	65660698	65664384	65660698	65660897	65664233	65664384
3220	"ENSG00000265241"	"RBM8A"	chr1	-	145926481	145927077	145926481	145926618	145927017	145927077
3240	"ENSG00000058673"	"ZC3H11A"	chr1	+	203796450	203803016	203796450	203796601	203802956	203803016
3262	"ENSG00000226067"	"LINC00623"	chr1	+	120952438	120953460	120952438	120952785	120953222	120953460
3286	"ENSG00000168765"	"GSTM4"	chr1	+	109656711	109657671	109656711	109656787	109657349	109657671
3287	"ENSG00000168765"	"GSTM4"	chr1	+	109656711	109657671	109656711	109656787	109657589	109657671
3323	"ENSG00000085998"	"POMGNT1"	chr1	-	46193304	46193925	46193304	46193388	46193854	46193925
3360	"ENSG00000082068"	"WDR70"	chr5	+	37721114	37725050	37721114	37721215	37724933	37725050
3413	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927815	49929416	49929504
3414	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927848	49929416	49929504
3430	"ENSG00000138668"	"HNRNPD"	chr4	-	82353828	82356895	82353828	82354154	82356795	82356895
3494	"ENSG00000143093"	"STRIP1"	chr1	+	110049111	110050409	110049111	110049238	110050342	110050409
3502	"ENSG00000116691"	"MIIP"	chr1	+	12029222	12030124	12029222	12029281	12030027	12030124
3534	"ENSG00000167962"	"ZNF598"	chr16	-	2002520	2003728	2002520	2002732	2003615	2003728
3632	"ENSG00000117122"	"MFAP2"	chr1	-	16976707	16978314	16976707	16976923	16978236	16978314
3643	"ENSG00000100316"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
3647	"ENSG00000232931"	"LINC00342"	chr2	-	95813315	95813957	95813315	95813533	95813809	95813957
3652	"ENSG00000198837"	"DENND4B"	chr1	-	153930538	153931064	153930538	153930603	153930946	153931064
3673	"ENSG00000127054"	"INTS11"	chr1	-	1312592	1313124	1312592	1312700	1313034	1313124
3687	"ENSG00000132781"	"MUTYH"	chr1	-	45332165	45332834	45332165	45332310	45332762	45332834
3689	"ENSG00000132781"	"MUTYH"	chr1	-	45332762	45333170	45332762	45332834	45333096	45333170
3699	"ENSG00000204348"	"DXO"	chr6	-	31970342	31970825	31970342	31970478	31970592	31970825
3701	"ENSG00000204348"	"DXO"	chr6	-	31970108	31971147	31970108	31970203	31970605	31971147
3706	"ENSG00000125046"	"SSUH2"	chr3	-	8633665	8634645	8633665	8633941	8634397	8634645
3729	"ENSG00000111602"	"TIMELESS"	chr12	-	56420962	56421809	56420962	56421134	56421726	56421809
3741	"ENSG00000155363"	"MOV10"	chr1	+	112698286	112699810	112698286	112698478	112699684	112699810
3749	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4060686	4061654	4062299
3750	"ENSG00000112739"	"PRPF4B"	chr6	+	4060412	4062299	4060412	4061147	4062212	4062299
3758	"ENSG00000082512"	"TRAF5"	chr1	+	211356366	211360779	211356366	211356468	211360701	211360779
3786	"ENSG00000118298"	"CA14"	chr1	+	150262803	150263419	150262803	150262870	150263298	150263419
3795	"ENSG00000053900"	"ANAPC4"	chr4	+	25415465	25417739	25415465	25415540	25417615	25417739
3804	"ENSG00000197355"	"UAP1L1"	chr9	+	137079255	137080874	137079255	137079449	137080688	137080874
3809	"ENSG00000114626"	"ABTB1"	chr3	+	127676535	127677286	127676535	127676581	127677167	127677286
3812	"ENSG00000114626"	"ABTB1"	chr3	+	127677464	127680185	127677464	127677563	127679984	127680185
3924	"ENSG00000132424"	"PNISR"	chr6	-	99414571	99416428	99414571	99414686	99416348	99416428
3931	"ENSG00000197989"	"SNHG12"	chr1	-	28579911	28581229	28579911	28579981	28581110	28581229
3954	"ENSG00000099622"	"CIRBP"	chr19	+	1271139	1271632	1271139	1271246	1271550	1271632
3970	"ENSG00000163743"	"RCHY1"	chr4	-	75490580	75491782	75490580	75490663	75491723	75491782
4019	"ENSG00000233184"	"AC093157.1"	chr1	+	101080388	101083574	101080388	101080613	101080886	101083574
4030	"ENSG00000174748"	"RPL15"	chr3	+	23917849	23919552	23917849	23918031	23919195	23919552
4047	"ENSG00000159176"	"CSRP1"	chr1	-	201485282	201488984	201485282	201485376	201488872	201488984
4060	"ENSG00000158411"	"MITD1"	chr2	-	99171342	99174016	99171342	99171429	99173914	99174016
4087	"ENSG00000026025"	"VIM"	chr10	+	17235168	17236379	17235168	17235389	17236293	17236379
4089	"ENSG00000143126"	"CELSR2"	chr1	+	109269932	109271039	109269932	109270133	109270926	109271039
4102	"ENSG00000136450"	"SRSF1"	chr17	-	58004922	58005973	58004922	58005041	58005800	58005973
4106	"ENSG00000171824"	"EXOSC10"	chr1	-	11076841	11077651	11076841	11076948	11077600	11077651
4138	"ENSG00000009830"	"POMT2"	chr14	-	77279536	77279928	77279536	77279586	77279822	77279928
4155	"ENSG00000159588"	"CCDC17"	chr1	-	45622954	45623652	45622954	45623117	45623556	45623652
4169	"ENSG00000147813"	"NAPRT"	chr8	-	143574784	143575345	143574784	143574900	143575190	143575345
4206	"ENSG00000075702"	"WDR62"	chr19	+	36101213	36102851	36101213	36101317	36102736	36102851
4207	"ENSG00000075702"	"WDR62"	chr19	+	36101213	36102851	36101213	36101317	36102751	36102851
4225	"ENSG00000005448"	"WDR54"	chr2	+	74423318	74423982	74423318	74423385	74423854	74423982
4256	"ENSG00000175054"	"ATR"	chr3	-	142465096	142468068	142465096	142465240	142467933	142468068
4280	"ENSG00000182473"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562
4297	"ENSG00000176444"	"CLK2"	chr1	-	155263949	155264550	155263949	155264040	155264467	155264550
4314	"ENSG00000153187"	"HNRNPU"	chr1	-	244846603	244854503	244846603	244846706	244854317	244854503
4326	"ENSG00000142327"	"RNPEPL1"	chr2	+	240573774	240574628	240573774	240573891	240574514	240574628
4398	"ENSG00000232956"	"SNHG15"	chr7	-	44983821	44986097	44983821	44983957	44986020	44986097
4438	"ENSG00000143369"	"ECM1"	chr1	+	150509660	150510002	150509660	150509762	150509834	150510002
4451	"ENSG00000171720"	"HDAC3"	chr5	-	141629683	141630125	141629683	141629739	141630043	141630125
4504	"ENSG00000131748"	"STARD3"	chr17	+	39659460	39660526	39659460	39659553	39660430	39660526
4508	"ENSG00000114388"	"NPRL2"	chr3	-	50347758	50348563	50347758	50347901	50348522	50348563
4515	"ENSG00000114388"	"NPRL2"	chr3	-	50349664	50350022	50349664	50349828	50349912	50350022
4582	"ENSG00000162191"	"UBXN1"	chr11	-	62676497	62677832	62676497	62677005	62677780	62677832
4614	"ENSG00000115464"	"USP34"	chr2	-	61236025	61236389	61236025	61236073	61236324	61236389
4620	"ENSG00000186281"	"GPAT2"	chr2	-	96022957	96023440	96022957	96023023	96023308	96023440
4621	"ENSG00000186281"	"GPAT2"	chr2	-	96023105	96024000	96023105	96023226	96023922	96024000
4649	"ENSG00000108387"	"SEPTIN4"	chr17	-	58520742	58522101	58520742	58520842	58521966	58522101
4655	"ENSG00000267796"	"LIN37"	chr19	+	35752433	35752999	35752433	35752484	35752913	35752999
4661	"ENSG00000064703"	"DDX20"	chr1	+	111760705	111763007	111760705	111760848	111762905	111763007
4677	"ENSG00000115282"	"TTC31"	chr2	+	74490243	74491184	74490243	74490473	74491127	74491184
4736	"ENSG00000204713"	"TRIM27"	chr6	-	28903001	28908840	28903001	28904665	28908807	28908840
4805	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426680	178430677	178430889
4806	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426703	178430677	178430889
4807	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426505	178430694	178430889
4810	"ENSG00000223960"	"CHROMR"	chr2	+	178426365	178430889	178426365	178426703	178430694	178430889
4823	"ENSG00000088205"	"DDX18"	chr2	+	117826268	117829466	117826268	117826382	117829288	117829466
4834	"ENSG00000131143"	"COX4I1"	chr16	+	85804936	85807002	85804936	85805104	85806737	85807002
4861	"ENSG00000039650"	"PNKP"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881
4871	"ENSG00000127837"	"AAMP"	chr2	-	218265578	218266587	218265578	218265946	218266442	218266587
4892	"ENSG00000170445"	"HARS1"	chr5	-	140677654	140679127	140677654	140677753	140679001	140679127
4895	"ENSG00000213689"	"TREX1"	chr3	+	48466629	48467645	48466629	48466641	48467064	48467645
4936	"ENSG00000147454"	"SLC25A37"	chr8	+	23566107	23568378	23566107	23566813	23568258	23568378
4943	"ENSG00000128708"	"HAT1"	chr2	+	171965786	171966949	171965786	171965908	171966842	171966949
4964	"ENSG00000151914"	"DST"	chr6	-	56466077	56470282	56466077	56466195	56470127	56470282
5016	"ENSG00000102125"	"TAZ"	chrX	+	154412085	154413567	154412085	154412214	154413481	154413567
5028	"ENSG00000144635"	"DYNC1LI1"	chr3	-	32530283	32533097	32530283	32530328	32532985	32533097
5030	"ENSG00000160695"	"VPS11"	chr11	+	119078172	119078997	119078172	119078334	119078794	119078997
5057	"ENSG00000163516"	"ANKZF1"	chr2	+	219234132	219235875	219234132	219234288	219235707	219235875
5058	"ENSG00000163516"	"ANKZF1"	chr2	+	219234132	219235875	219234132	219235312	219235707	219235875
5067	"ENSG00000196290"	"NIF3L1"	chr2	+	200891735	200892379	200891735	200891789	200891968	200892379
5072	"ENSG00000114786"	"ABHD14A-ACY1"	chr3	+	51986414	51987061	51986414	51986504	51986987	51987061
5089	"ENSG00000142733"	"MAP3K6"	chr1	-	27357710	27358611	27357710	27357876	27358418	27358611
5133	"ENSG00000130414"	"NDUFA10"	chr2	-	240011616	240014860	240011616	240011660	240014738	240014860
5142	"ENSG00000198830"	"HMGN2"	chr1	+	26473482	26474135	26473482	26473527	26474084	26474135
5157	"ENSG00000103253"	"HAGHL"	chr16	+	728793	729715	728793	728895	729287	729715
5165	"ENSG00000111011"	"RSRC2"	chr12	-	122518838	122521428	122518838	122519051	122521384	122521428
5211	"ENSG00000076706"	"MCAM"	chr11	-	119310755	119311421	119310755	119310903	119311279	119311421
5216	"ENSG00000064687"	"ABCA7"	chr19	+	1041509	1042176	1041509	1041603	1042063	1042176
5218	"ENSG00000064687"	"ABCA7"	chr19	+	1056906	1058747	1056906	1057084	1058617	1058747
5219	"ENSG00000064687"	"ABCA7"	chr19	+	1056906	1058747	1056906	1057429	1058617	1058747
5256	"ENSG00000137726"	"FXYD6"	chr11	-	117841989	117842261	117841989	117842025	117842106	117842261
5326	"ENSG00000242802"	"AP5Z1"	chr7	+	4785414	4786428	4785414	4785452	4786000	4786428
5367	"ENSG00000184307"	"ZDHHC23"	chr3	+	113958362	113962978	113958362	113958538	113961051	113962978
5380	"ENSG00000197958"	"RPL12"	chr9	-	127449609	127451405	127449609	127449708	127451049	127451405
5393	"ENSG00000188185"	"LINC00265"	chr7	+	39780502	39781885	39780502	39780624	39781743	39781885
5462	"ENSG00000223705"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415770	75416102	75416191
5463	"ENSG00000223705"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415778	75416102	75416191
5499	"ENSG00000168090"	"COPS6"	chr7	+	100090591	100091152	100090591	100090654	100091037	100091152
5549	"ENSG00000145191"	"EIF2B5"	chr3	+	184143051	184144224	184143051	184143142	184144098	184144224
5551	"ENSG00000145191"	"EIF2B5"	chr3	+	184143051	184144224	184143051	184143142	184144127	184144224
5553	"ENSG00000145191"	"EIF2B5"	chr3	+	184143051	184144707	184143051	184143565	184144596	184144707
5573	"ENSG00000146802"	"TMEM168"	chr7	-	112783697	112784953	112783697	112783783	112784854	112784953
5626	"ENSG00000105298"	"CACTIN"	chr19	-	3610644	3612413	3610644	3610966	3611903	3612413
5668	"ENSG00000188878"	"FBF1"	chr17	-	75914121	75914932	75914121	75914292	75914746	75914932
5684	"ENSG00000164896"	"FASTK"	chr7	-	151076912	151077780	151076912	151077027	151077620	151077780
5686	"ENSG00000164896"	"FASTK"	chr7	-	151076912	151078092	151076912	151077236	151077878	151078092
5706	"ENSG00000234741"	"GAS5"	chr1	-	173864256	173865282	173864256	173864304	173865228	173865282
5757	"ENSG00000178761"	"FAM219B"	chr15	-	74899991	74902786	74899991	74900137	74902603	74902786
5760	"ENSG00000178761"	"FAM219B"	chr15	-	74904663	74906365	74904663	74904712	74906277	74906365
5770	"ENSG00000102226"	"USP11"	chrX	+	47247071	47247699	47247071	47247221	47247610	47247699
5899	"ENSG00000197114"	"ZGPAT"	chr20	+	63733586	63734824	63733586	63733712	63734644	63734824
5944	"ENSG00000130734"	"ATG4D"	chr19	+	10546838	10547253	10546838	10547075	10547188	10547253
5986	"ENSG00000196924"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696
5999	"ENSG00000182484"	"WASH6P"	chrX	+	156024119	156025666	156024119	156024272	156025240	156025666
6056	"ENSG00000147416"	"ATP6V1B2"	chr8	+	20212781	20217324	20212781	20212905	20217219	20217324
6076	"ENSG00000104695"	"PPP2CB"	chr8	-	30785615	30786307	30785615	30785989	30786210	30786307
