ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
78	"ENSG00000142207"	"URB1"	chr21	-	32352709	32352906	32353932	32354103	32350703	32350922	32354858	32354997
79	"ENSG00000142207"	"URB1"	chr21	-	32363155	32363329	32366617	32366755	32361891	32362021	32368402	32368598
80	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659621	31659841	31667257	31667375
81	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659708	31660708	31667257	31667375
82	"ENSG00000156299"	"TIAM1"	chr21	-	31266009	31266983	31276731	31276908	31251741	31252189	31339242	31339422
84	"ENSG00000156273"	"BACH1"	chr21	+	29321220	29321514	29326058	29327393	29298921	29298953	29329486	29329693
85	"ENSG00000154727"	"GABPA"	chr21	+	25745209	25745354	25749035	25749120	25741572	25741675	25751988	25752234
90	"ENSG00000154642"	"C21orf91"	chr21	-	17811355	17811471	17813876	17813929	17796722	17797118	17818191	17818325
91	"ENSG00000154640"	"BTG3"	chr21	-	17604859	17604997	17608971	17609152	17598616	17598824	17612698	17612947
105	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15842397	15842540	15831400	15831629	15864267	15864446
106	"ENSG00000155313"	"USP25"	chr21	+	15842397	15842540	15864267	15864446	15833347	15833548	15866265	15866344
112	"ENSG00000100299"	"ARSA"	chr22	-	50626153	50626278	50626590	50626760	50625935	50626063	50626833	50627052
113	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50626760	50626833	50627052	50626153	50626278	50627165	50627406
114	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579726	50579830	50579973	50580082	50579425	50579507	50580189	50580416
115	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579726	50579830	50580189	50580416	50579425	50579507	50580564	50580660
116	"ENSG00000025770"	"NCAPH2"	chr22	+	50518132	50518278	50518648	50518732	50517972	50518052	50519189	50519320
117	"ENSG00000025770"	"NCAPH2"	chr22	+	50518648	50518732	50519189	50519320	50518132	50518278	50520964	50521036
118	"ENSG00000025770"	"NCAPH2"	chr22	+	50522670	50522720	50522820	50522922	50522497	50522569	50523016	50523166
119	"ENSG00000100239"	"PPP6R2"	chr22	+	50372019	50372150	50393892	50394135	50343303	50343550	50406688	50406875
120	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50391866	50392015	50372071	50372150	50393892	50394135
121	"ENSG00000100239"	"PPP6R2"	chr22	+	50393892	50394135	50406688	50406875	50372019	50372150	50414551	50414689
122	"ENSG00000100239"	"PPP6R2"	chr22	+	50393892	50394135	50414551	50414689	50372019	50372150	50416091	50416157
123	"ENSG00000100239"	"PPP6R2"	chr22	+	50406688	50406875	50416091	50416157	50393892	50394135	50418866	50418979
124	"ENSG00000188130"	"MAPK12"	chr22	-	50248365	50248472	50248661	50248751	50248224	50248292	50248830	50248890
125	"ENSG00000188130"	"MAPK12"	chr22	-	50248365	50248472	50249102	50249454	50248224	50248292	50249634	50249703
126	"ENSG00000188130"	"MAPK12"	chr22	-	50248661	50248751	50248830	50248890	50248365	50248472	50249102	50249454
127	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219456	50219643	50219791	50219067	50219209	50219956	50220015
128	"ENSG00000128159"	"TUBGCP6"	chr22	-	50229403	50229577	50240203	50240367	50227906	50228028	50243718	50244971
129	"ENSG00000128159"	"TUBGCP6"	chr22	-	50233315	50233526	50240203	50240367	50229403	50229577	50243718	50244971
130	"ENSG00000073169"	"SELENOO"	chr22	+	50206316	50206520	50208535	50208716	50200978	50201590	50210180	50210311
131	"ENSG00000073169"	"SELENOO"	chr22	+	50208487	50208716	50210180	50210311	50206441	50206520	50210630	50210911
132	"ENSG00000073169"	"SELENOO"	chr22	+	50208535	50208716	50210180	50210311	50206316	50206520	50210630	50210911
133	"ENSG00000170638"	"TRABD"	chr22	+	50194339	50194506	50194899	50195040	50193575	50193654	50197240	50197351
134	"ENSG00000170638"	"TRABD"	chr22	+	50194899	50195040	50197240	50197351	50194339	50194506	50197448	50197588
135	"ENSG00000170638"	"TRABD"	chr22	+	50197240	50197351	50197822	50197995	50194899	50195040	50198074	50198186
136	"ENSG00000184164"	"CRELD2"	chr22	+	49919229	49919312	49919729	49919840	49918634	49918898	49920155	49920247
138	"ENSG00000054611"	"TBC1D22A"	chr22	+	46793500	46793841	46878652	46878723	46762680	46762848	46891265	46891394
140	"ENSG00000054611"	"TBC1D22A"	chr22	+	46878652	46878723	46891265	46891394	46793500	46793841	46894783	46894846
141	"ENSG00000054611"	"TBC1D22A"	chr22	+	46878652	46878723	46891265	46891394	46797443	46797620	46894783	46894846
142	"ENSG00000054611"	"TBC1D22A"	chr22	+	46878652	46878723	46891265	46891394	46797443	46797620	46912073	46912188
143	"ENSG00000054611"	"TBC1D22A"	chr22	+	46891265	46891394	46894783	46894846	46878652	46878723	46912073	46912188
145	"ENSG00000054611"	"TBC1D22A"	chr22	+	46974289	46974399	46997633	46997709	46912073	46912188	47037070	47037198
146	"ENSG00000054611"	"TBC1D22A"	chr22	+	46974289	46974399	47037070	47037198	46912073	46912188	47111507	47111603
147	"ENSG00000054611"	"TBC1D22A"	chr22	+	46997633	46997709	47037070	47037198	46974289	46974399	47111507	47111603
148	"ENSG00000054611"	"TBC1D22A"	chr22	+	46997633	46997709	47111507	47111603	46974289	46974399	47173497	47174083
149	"ENSG00000054611"	"TBC1D22A"	chr22	+	47037070	47037198	47111507	47111603	46997633	46997709	47173497	47174083
150	"ENSG00000075234"	"TTC38"	chr22	+	46273897	46274069	46275247	46275421	46272334	46272416	46278585	46278661
151	"ENSG00000075234"	"TTC38"	chr22	+	46289401	46289561	46289825	46289899	46288509	46288588	46292202	46292328
152	"ENSG00000128408"	"RIBC2"	chr22	+	45422289	45422408	45425947	45426175	45418006	45418244	45430899	45431016
153	"ENSG00000100376"	"FAM118A"	chr22	+	45327841	45328063	45330602	45330731	45323174	45323427	45332424	45332710
154	"ENSG00000100376"	"FAM118A"	chr22	+	45327841	45328063	45335349	45335382	45323174	45323427	45336327	45336411
155	"ENSG00000100376"	"FAM118A"	chr22	+	45330602	45330731	45332424	45332710	45327841	45328063	45335349	45335382
156	"ENSG00000100376"	"FAM118A"	chr22	+	45330602	45330731	45336327	45336411	45327841	45328063	45340385	45341955
157	"ENSG00000100376"	"FAM118A"	chr22	+	45332424	45332710	45335349	45335382	45330456	45330731	45336327	45336410
158	"ENSG00000100376"	"FAM118A"	chr22	+	45335349	45335382	45336327	45336411	45332424	45332710	45340385	45341955
159	"ENSG00000093000"	"NUP50"	chr22	+	45168167	45168246	45171599	45171683	45163999	45164296	45178237	45178314
160	"ENSG00000093000"	"NUP50"	chr22	+	45171599	45171683	45178237	45178900	45168167	45168246	45181285	45181367
161	"ENSG00000093000"	"NUP50"	chr22	+	45181285	45181367	45183401	45183520	45178237	45178900	45184452	45184830
162	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44714590	44714671	44725243	44725292	44702232	44702608	44726576	44726634
163	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44731729	44731821	44732250	44732391	44726576	44726634	44735026	44735162
164	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44802076	44802164	44808306	44808438	44786456	44786606	44814671	44814758
165	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44802076	44802164	44825482	44825593	44786456	44786606	44845268	44845342
166	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44808306	44808438	44814671	44814758	44802076	44802164	44822370	44822469
167	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44847972	44848050	44848931	44849060	44845268	44845342	44859730	44859834
168	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44848931	44849060	44859730	44859834	44847972	44848050	44862274	44862671
169	"ENSG00000188677"	"PARVB"	chr22	+	44093927	44094017	44100052	44100123	44024276	44024451	44119037	44119140
170	"ENSG00000188677"	"PARVB"	chr22	+	44100052	44100123	44119037	44119140	44093927	44094017	44131486	44131627
171	"ENSG00000188677"	"PARVB"	chr22	+	44119037	44119140	44131486	44131627	44100052	44100123	44132893	44132965
172	"ENSG00000188677"	"PARVB"	chr22	+	44119037	44119140	44147860	44147922	44100052	44100123	44151482	44151551
173	"ENSG00000188677"	"PARVB"	chr22	+	44147860	44147922	44151482	44151551	44100052	44100123	44157981	44158083
174	"ENSG00000188677"	"PARVB"	chr22	+	44147860	44147922	44151482	44151551	44132893	44133009	44157981	44158083
175	"ENSG00000188677"	"PARVB"	chr22	+	44147860	44147922	44151482	44151551	44140123	44140143	44157981	44158083
176	"ENSG00000188677"	"PARVB"	chr22	+	44147860	44147922	44157981	44158083	44140123	44140143	44163857	44163930
177	"ENSG00000188677"	"PARVB"	chr22	+	44151482	44151551	44157981	44158083	44147860	44147922	44163857	44163930
178	"ENSG00000188677"	"PARVB"	chr22	+	44157981	44158083	44163857	44163930	44147860	44147922	44168601	44169221
179	"ENSG00000188677"	"PARVB"	chr22	+	44157981	44158083	44163857	44163930	44151482	44151551	44168601	44168923
181	"ENSG00000100347"	"SAMM50"	chr22	+	43973235	43973323	43976054	43976183	43972870	43973001	43976749	43976821
182	"ENSG00000100347"	"SAMM50"	chr22	+	43976054	43976183	43976749	43976821	43973235	43973323	43977871	43977958
183	"ENSG00000100304"	"TTLL12"	chr22	-	43180741	43180940	43182979	43183149	43179840	43180000	43186892	43187134
184	"ENSG00000100227"	"POLDIP3"	chr22	-	42587505	42587572	42591954	42592084	42583720	42585968	42595536	42595603
185	"ENSG00000100227"	"POLDIP3"	chr22	-	42599697	42599793	42601969	42602056	42596185	42596365	42602769	42603160
186	"ENSG00000100227"	"POLDIP3"	chr22	-	42599697	42599793	42601969	42602107	42596185	42596365	42602769	42603160
187	"ENSG00000189306"	"RRP7A"	chr22	-	42515150	42515268	42516010	42516136	42514676	42514779	42518004	42518147
188	"ENSG00000189306"	"RRP7A"	chr22	-	42516010	42516136	42518004	42518147	42515150	42515268	42519713	42519796
189	"ENSG00000189306"	"RRP7A"	chr22	-	42516010	42516296	42518004	42518147	42515200	42515268	42519713	42519796
190	"ENSG00000100162"	"CENPM"	chr22	-	41945912	41946005	41946416	41946496	41944920	41945304	41947019	41947151
191	"ENSG00000198911"	"SREBF2"	chr22	+	41866830	41867280	41868610	41868792	41833078	41833358	41870888	41871035
192	"ENSG00000198911"	"SREBF2"	chr22	+	41868610	41868792	41870888	41871035	41866830	41867280	41873797	41874019
193	"ENSG00000198911"	"SREBF2"	chr22	+	41870888	41871035	41873797	41874019	41868610	41868792	41875336	41875451
194	"ENSG00000198911"	"SREBF2"	chr22	+	41877228	41877421	41877941	41878123	41875542	41875724	41878658	41878758
195	"ENSG00000198911"	"SREBF2"	chr22	+	41877228	41877421	41877941	41878123	41875542	41875724	41880715	41880992
196	"ENSG00000198911"	"SREBF2"	chr22	+	41877941	41878123	41878658	41878758	41877228	41877421	41880715	41880992
197	"ENSG00000198911"	"SREBF2"	chr22	+	41897051	41897161	41900329	41900498	41894819	41894937	41902969	41903155
198	"ENSG00000198911"	"SREBF2"	chr22	+	41899236	41899553	41900019	41900122	41898648	41898781	41900329	41900498
199	"ENSG00000198911"	"SREBF2"	chr22	+	41899236	41899553	41900329	41900498	41898648	41898781	41904862	41904974
200	"ENSG00000198911"	"SREBF2"	chr22	+	41899236	41899553	41902969	41903155	41898648	41898781	41904862	41904974
201	"ENSG00000198911"	"SREBF2"	chr22	+	41900329	41900498	41902969	41903155	41898648	41898781	41904862	41904974
202	"ENSG00000100147"	"CCDC134"	chr22	+	41810206	41810291	41813263	41813445	41809878	41810000	41813750	41813822
203	"ENSG00000100418"	"DESI1"	chr22	-	41604043	41604153	41607261	41607331	41603258	41603381	41607839	41607861
204	"ENSG00000100418"	"DESI1"	chr22	-	41607261	41607331	41607839	41607861	41604043	41604153	41620751	41621043
205	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584058	41586075	41586193	41578805	41578881	41589718	41589840
206	"ENSG00000100401"	"RANGAP1"	chr22	-	41256190	41256290	41256710	41256824	41256020	41256105	41257947	41258106
207	"ENSG00000100401"	"RANGAP1"	chr22	-	41256710	41256824	41257947	41258106	41256190	41256290	41261445	41261580
208	"ENSG00000100401"	"RANGAP1"	chr22	-	41257947	41258106	41261445	41261580	41256710	41256824	41264663	41264843
209	"ENSG00000100401"	"RANGAP1"	chr22	-	41261445	41261580	41264663	41264843	41257947	41258106	41268096	41268156
210	"ENSG00000100401"	"RANGAP1"	chr22	-	41261445	41261580	41268096	41268156	41257947	41258106	41274599	41274727
211	"ENSG00000100401"	"RANGAP1"	chr22	-	41274599	41274727	41280932	41281082	41268096	41268156	41285985	41286251
212	"ENSG00000100393"	"EP300"	chr22	+	41166598	41166666	41168448	41168599	41164052	41164130	41168720	41168867
213	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40964046	40964117	40951377	40951476	40967798	40967884
214	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40967798	40967884	40951377	40951476	40972475	40973309
215	"ENSG00000100387"	"RBX1"	chr22	+	40964046	40964117	40967798	40967884	40953554	40953633	40972475	40973309
216	"ENSG00000196236"	"XPNPEP3"	chr22	+	40881769	40882177	40886312	40886515	40868998	40869115	40907586	40907649
217	"ENSG00000196236"	"XPNPEP3"	chr22	+	40886312	40886515	40907586	40907649	40881769	40882177	40909121	40909235
218	"ENSG00000100372"	"SLC25A17"	chr22	-	40779008	40779125	40799022	40799040	40777227	40777373	40819194	40819316
219	"ENSG00000100372"	"SLC25A17"	chr22	-	40779008	40779125	40799022	40799083	40777227	40777373	40819194	40819326
221	"ENSG00000100372"	"SLC25A17"	chr22	-	40784512	40784604	40792524	40792676	40779008	40779125	40794513	40794580
223	"ENSG00000196588"	"MRTFA"	chr22	-	40423535	40423685	40424205	40424381	40420846	40421100	40429605	40429767
224	"ENSG00000196588"	"MRTFA"	chr22	-	40463220	40463286	40552105	40552367	40435498	40435554	40594673	40594735
225	"ENSG00000284431"	"AL022238.4"	chr22	+	40361272	40361342	40361487	40361635	40360401	40360492	40362980	40363071
226	"ENSG00000100335"	"MIEF1"	chr22	+	39504202	39504534	39511287	39511438	39502289	39502437	39511848	39512026
227	"ENSG00000100307"	"CBX7"	chr22	-	39134400	39134473	39138635	39138702	39133583	39134048	39141370	39141436
228	"ENSG00000100307"	"CBX7"	chr22	-	39134400	39134752	39138635	39138702	39130771	39134048	39141370	39141436
229	"ENSG00000100242"	"SUN2"	chr22	-	38739721	38739943	38740266	38740432	38739341	38739426	38740888	38741050
230	"ENSG00000100242"	"SUN2"	chr22	-	38748712	38748783	38749765	38749859	38745683	38745811	38750224	38750314
231	"ENSG00000100226"	"GTPBP1"	chr22	+	38726257	38726440	38727212	38727348	38726005	38726150	38727982	38728161
232	"ENSG00000100211"	"CBY1"	chr22	+	38656955	38657143	38665545	38665685	38656675	38656750	38668016	38668132
234	"ENSG00000100201"	"DDX17"	chr22	-	38487872	38488115	38493709	38493771	38483439	38486440	38494020	38494131
235	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38488115	38493709	38493771	38483437	38486440	38494020	38494131
236	"ENSG00000100201"	"DDX17"	chr22	-	38494885	38495046	38495795	38495937	38494629	38494802	38498084	38498150
237	"ENSG00000100201"	"DDX17"	chr22	-	38495795	38495937	38498084	38498150	38494885	38495046	38498439	38498573
238	"ENSG00000100139"	"MICALL1"	chr22	+	37919035	37919178	37921971	37922426	37917706	37917795	37924659	37924717
239	"ENSG00000100139"	"MICALL1"	chr22	+	37932552	37932679	37932797	37932888	37931798	37931933	37933038	37933112
240	"ENSG00000100139"	"MICALL1"	chr22	+	37937079	37937194	37937745	37937819	37933038	37933112	37940708	37941187
241	"ENSG00000100139"	"MICALL1"	chr22	+	37937079	37937194	37937745	37937792	37933038	37933112	37940708	37941533
242	"ENSG00000100129"	"EIF3L"	chr22	+	37855564	37855644	37858678	37858740	37851279	37851490	37862968	37863038
243	"ENSG00000100129"	"EIF3L"	chr22	+	37855564	37855644	37862968	37863038	37851279	37851490	37863271	37863288
244	"ENSG00000100129"	"EIF3L"	chr22	+	37858678	37858740	37863271	37863345	37855564	37855644	37870175	37870347
245	"ENSG00000100129"	"EIF3L"	chr22	+	37877673	37878171	37886764	37886845	37875840	37876011	37888425	37888479
247	"ENSG00000100124"	"ANKRD54"	chr22	-	37833683	37833755	37838499	37838593	37833158	37833206	37840186	37840234
248	"ENSG00000100124"	"ANKRD54"	chr22	-	37833683	37833755	37838499	37838598	37833158	37833206	37840186	37840234
249	"ENSG00000100097"	"LGALS1"	chr22	+	37676855	37677065	37678482	37678654	37675656	37675711	37679602	37679802
250	"ENSG00000100097"	"LGALS1"	chr22	+	37676985	37677065	37678482	37678654	37675635	37675711	37679602	37679802
251	"ENSG00000100083"	"GGA1"	chr22	+	37614189	37614274	37616921	37617048	37608724	37608903	37618447	37618546
252	"ENSG00000100083"	"GGA1"	chr22	+	37614189	37614274	37616921	37616997	37608833	37608903	37618447	37618546
253	"ENSG00000100083"	"GGA1"	chr22	+	37614189	37614274	37618447	37618546	37608947	37609154	37620237	37620361
254	"ENSG00000100083"	"GGA1"	chr22	+	37614193	37614274	37616921	37616997	37608834	37608903	37618447	37618546
255	"ENSG00000100083"	"GGA1"	chr22	+	37616921	37616997	37620237	37620361	37614132	37614274	37620812	37620913
256	"ENSG00000100083"	"GGA1"	chr22	+	37616921	37616997	37618447	37618546	37614189	37614274	37619799	37620044
257	"ENSG00000100083"	"GGA1"	chr22	+	37620237	37620361	37620812	37620913	37618447	37618546	37621615	37621631
258	"ENSG00000100083"	"GGA1"	chr22	+	37624968	37625076	37625796	37625949	37623551	37623633	37629461	37629526
259	"ENSG00000100083"	"GGA1"	chr22	+	37629997	37630170	37630902	37631099	37629461	37629526	37631995	37632165
260	"ENSG00000100083"	"GGA1"	chr22	+	37630902	37631099	37631995	37632165	37629997	37630170	37632404	37632515
261	"ENSG00000100297"	"MCM5"	chr22	+	35400430	35400605	35403206	35403333	35400136	35400208	35406552	35406725
262	"ENSG00000100297"	"MCM5"	chr22	+	35413874	35413986	35415828	35415972	35412509	35412681	35416338	35416404
269	"ENSG00000133424"	"LARGE1"	chr22	-	33277059	33277255	33283201	33283348	33272860	33274624	33304228	33304507
270	"ENSG00000133424"	"LARGE1"	chr22	-	33283201	33283348	33304228	33304507	33277059	33277255	33316084	33316248
271	"ENSG00000133424"	"LARGE1"	chr22	-	33304228	33304507	33316084	33316248	33283201	33283348	33337645	33337801
272	"ENSG00000133424"	"LARGE1"	chr22	-	33316084	33316248	33337645	33337801	33304228	33304507	33381918	33382044
273	"ENSG00000133424"	"LARGE1"	chr22	-	33564847	33565019	33604434	33604558	33432160	33432265	33626243	33626326
274	"ENSG00000133424"	"LARGE1"	chr22	-	33604434	33604558	33626243	33626326	33564847	33565019	33650366	33650668
275	"ENSG00000133424"	"LARGE1"	chr22	-	33626243	33626326	33650366	33650668	33604434	33604558	33761370	33761558
276	"ENSG00000133424"	"LARGE1"	chr22	-	33650366	33650668	33761370	33761558	33626243	33626326	33919994	33920414
277	"ENSG00000205853"	"RFPL3S"	chr22	-	32370898	32370941	32377260	32377349	32368496	32368567	32381147	32381255
278	"ENSG00000285404"	"Z82190.2"	chr22	+	31797599	31797703	31798581	31798656	31792744	31792817	31802703	31802838
279	"ENSG00000285404"	"Z82190.2"	chr22	+	31809610	31809647	31810520	31810641	31806121	31806191	31814991	31815212
280	"ENSG00000100150"	"DEPDC5"	chr22	+	31754861	31754979	31758545	31758633	31753866	31753996	31760655	31760702
281	"ENSG00000100150"	"DEPDC5"	chr22	+	31778098	31778168	31783906	31783985	31768813	31768863	31784813	31784875
282	"ENSG00000100150"	"DEPDC5"	chr22	+	31806121	31806191	31809610	31809647	31804841	31804915	31810520	31810641
